,freq
task,152
hac,116
frl,115
robot,97
robots,86
allocation,75
which,74
energy,62
time,61
deadlock,53
system,45
learning,44
tasks,42
cid,42
performance,42
warehouse,41
distributed,40
efficiency,36
multi,35
consensus,34
systems,34
scale,33
defined,32
framework,32
large,32
communication,31
priority,30
real,30
agent,29
fig,29
latency,28
then,27
auction,27
reinforcement,26
process,26
dynamic,26
than,25
informationprocessingandmanagement,25
approaches,24
optimization,24
congestion,24
its,24
algorithm,24
hybrid,24
opat,24
baseline,23
success,23
scalability,23
request,23
high,22
mits,21
deadlocks,21
environments,20
resource,20
every,20
fdrl,20
only,20
network,20
mosa,19
rate,19
fault,19
value,19
other,19
conditions,18
model,18
world,18
compared,18
completion,18
while,18
coordination,18
analysis,18
phase,17
number,17
level,17
adaptive,17
represented,17
where,17
policy,17
resilience,17
overhead,17
fine,17
all,17
local,17
bid,16
through,16
shows,16
tolerance,16
graph,16
battery,16
baselines,16
recovery,16
function,15
bandwidth,15
levels,15
heterogeneous,15
edge,15
decision,15
work,15
per,14
well,14
scheduling,14
contention,14
cost,14
during,13
complexity,13
failures,13
according,13
recurrent,13
settings,13
objective,13
message,13
but,13
queue,13
data,13
automation,12
hardware,12
how,12
step,12
protocol,12
low,12
